,Make,Model,2016,2017,2018,2019,2020,2021,January_2022,February_2022,March_2022,April_2022,May_2022,June_2022,2022,Ex-Showroom_Price,Displacement_in_cc,Cylinders,Valves_Per_Cylinder,Drivetrain,Cylinder_Configuration,Emission_Norm,Engine_Location,Fuel_System,Fuel_Tank_Capacity_in_litres,Fuel_Type,Height_in_mm,Length_in_mm,Width_in_mm,Body_Type,Doors,City_Mileage_in_km_per_litre,Highway_Mileage,ARAI_Certified_Mileage,ARAI_Certified_Mileage_for_CNG,Kerb_Weight,Gears,Ground_Clearance,Front_Brakes,Rear_Brakes,Front_Suspension,Rear_Suspension,Front_Track,Rear_Track,Front_Tyre_&_Rim,Rear_Tyre_&_Rim,Power_Steering,Power_Windows,Power_Seats,Keyless_Entry,Odometer,Speedometer,Tachometer,Tripmeter,Seating_Capacity,Seats_Material,Type,Wheelbase,Wheels_Size,Start_/_Stop_Button,12v_Power_Outlet,Audiosystem,Aux-in_Compatibility,Average_Fuel_Consumption,Basic_Warranty,Bluetooth,Boot-lid_Opener,Boot_Space,CD_/_MP3_/_DVD_Player,Central_Locking,Child_Safety_Locks,Clock,Cup_Holders,Distance_to_Empty,Door_Pockets,Engine_Malfunction_Light,Extended_Warranty,FM_Radio,Fuel-lid_Opener,Fuel_Gauge,Handbrake,Instrument_Console,Low_Fuel_Warning,Minimum_Turning_Radius,Multifunction_Display,Sun_Visor,Third_Row_AC_Vents,Ventilation_System,Auto-Dimming_Rear-View_Mirror,Hill_Assist,Gear_Indicator,3_Point_Seat-Belt_in_Middle_Rear_Seat,Ambient_Lightning,Cargo/Boot_Lights,Drive_Modes,Engine_Immobilizer,High_Speed_Alert_System,Lane_Watch_Camera/_Side_Mirror_Camera,Passenger_Side_Seat-Belt_Reminder,Seat_Back_Pockets,Voice_Recognition,Walk_Away_Auto_Car_Lock,ABS_(Anti-lock_Braking_System),Headlight_Reminder,Adjustable_Headrests,Gross_Vehicle_Weight,Airbags,Door_Ajar_Warning,EBD_(Electronic_Brake-force_Distribution),Fasten_Seat_Belt_Warning,Gear_Shift_Reminder,Number_of_Airbags,Compression_Ratio,Adjustable_Steering_Column,Other_Specs,Other_specs,Parking_Assistance,Key_Off_Reminder,USB_Compatibility,Android_Auto,Apple_CarPlay,Cigarette_Lighter,Infotainment_Screen,Multifunction_Steering_Wheel,Average_Speed,EBA_(Electronic_Brake_Assist),Seat_Height_Adjustment,Navigation_System,Second_Row_AC_Vents,Tyre_Pressure_Monitoring_System,Rear_Center_Armrest,iPod_Compatibility,ESP_(Electronic_Stability_Program),Cooled_Glove_Box,Recommended_Tyre_Pressure,Heated_Seats,Turbocharger,ISOFIX_(Child-Seat_Mount),Rain_Sensing_Wipers,Paddle_Shifters,Leather_Wrapped_Steering,Automatic_Headlamps,Engine_Type,ASR_/_Traction_Control,Cruise_Control,USB_Ports,Heads-Up_Display,Welcome_Lights,Battery,Electric_Range_in_km_per_full_charge,Max_Power_in_hp,Max_Torque_in_Nm
393,Jaguar,F-Type,1105.33,152.27,971.88,930.7,603.07,230.86,49.5,121.52,228.68,49.57,182.67,140.11,772.05,23659454.0,5000.0,6.0,4.0,,,,,,,Petrol,1308.0,4470.0,1923.0,Convertible,4,12.05,,,,,8,,,,,,1585 mm,1649 mm,,,,,Power seats,,,,,,,,Automatic,2622 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Multifunction Steering Wheel,,,,Yes,,,,,,,,Yes,,,,,,,,,Yes,,,,,,488.23,625.0
401,Jaguar,Xe,798.37,409.03,983.71,683.97,44.59,1130.76,170.82,194.26,9.16,27.45,152.32,227.69,781.7,4498000.0,1997.0,4.0,4.0,RWD (Rear Wheel Drive),In-line,BS 6,"Front, Transverse",Injection,61.0,Petrol,1416.0,4691.0,1850.0,Sedan,4,,,11 km/litre,,1639 kg,8,125 mm,Ventilated Disc,Ventilated Disc,Double wishbone,Independent Integral Link,1597 mm,1598 mm,205 / 55 R17,205 / 55 R17,Hydraulic Power,All Windows,Power seats,Remote,Digital,Analog,Analog,Yes,5.0,Leather,Automatic,2835 mm,205 / 55 R17,Yes,Yes,CD/MP3/DVD Player with USB & Aux-in,Yes,Yes,,Yes,"Internal, With Remote",455 litres,Yes,Yes,Yes,Digital,Front & Rear,Yes,Front & Rear,Yes,,Yes,Internal,Digital,Automatic,Analog + Digital,Yes,11.22 meter,Yes,Driver & Front Passenger,Not Applicable,2 Zone Climate Control,Yes,Yes,Yes,,,Yes,"Normal, Comfort, Eco, Sport",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,All Rows,2150 kg,"Drive side airbag, Driver frontal airbag, Front passenger frontal airbag, Curtain airbags, Front passenger side airbag",Yes,Yes,Yes,Yes,6.0,10.5+/-0.5,"Rake, Reach",,,Front and rear sensors with camera,Yes,Yes,Yes,Yes,Yes,Touch Sensitive,"Multifunction Steering Wheel, With gear shift paddles",Yes,Yes,Electric Adjustment,Yes,Yes,Yes,Cup Holders,Yes,Yes,Yes,,Only front,,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,,Yes,Yes,,,246.58,365.0
405,Jaguar,Xf,415.53,1160.35,256.91,4.15,865.66,469.24,5.88,57.28,25.44,184.4,84.68,163.04,520.72,5436329.0,1999.0,4.0,4.0,RWD (Rear Wheel Drive),V,BS IV,"Front, Longitudinal",Injection,74.0,Petrol,1460.0,4961.0,2091.0,Sedan,4,5.7,13.12,13.12 km/litre,,1730 kg,8,,Ventilated Disc,Ventilated Disc,Adaptive Dynamics system,Adaptive Dynamics system,1605 mm,1594 mm,235/55R17,235/55R17,Electric Power,All Windows,"Yes, with memory",,Analog,Analog,Analog,Yes,5.0,Leather,Automatic,2960 mm,235/55R17,Yes,Yes,CD/MP3/DVD Player with USB & Aux-in,Yes,Yes,"3 Years/1,00,000 Kms (Whichever comes earlier)",Yes,Manual,505 litres,Yes,Yes,Yes,Digital,Yes,Yes,Yes,Yes,,Yes,Internal,Yes,Automatic,Analog,Yes,11.61 meter,Yes,Driver & Front Passenger,Not Applicable,2 Zone Climate Control,,Yes,Yes,,,,,Yes,,,,Yes,,,Yes,Yes,Yes,2210 kg,"Driver frontal airbag, Front passenger frontal airbag, Front passenger side airbag, Rear passenger side airbags, Curtain airbags",Yes,Yes,Yes,Yes,6.0,10:1,"Rake, Reach",,Air Conditioner : Standard,Front & rear sensors with 360 degree view,Yes,Yes,,,Yes,Touch Sensitive,Multifunction Steering Wheel,Yes,Yes,Electric Adjustment,Yes,Yes,Yes,Cup Holders,Yes,Yes,Yes,,All,,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,,,,,,243.62,340.0
410,Jaguar,Xj,1098.61,364.92,1160.32,444.68,734.95,444.26,78.78,50.28,183.43,213.86,173.83,142.72,842.9,9738609.0,2993.0,6.0,4.0,AWD (All Wheel Drive),V,BS IV,"Front, Longitudinal",Injection,82.0,Diesel,1457.0,5252.0,1899.0,Sedan,4,9.5,10.5,12.9 km/litre,,1871 kg,8,100 mm,Ventilated Disc,Ventilated Disc,Adaptive Dynamics system,Adaptive Dynamics system,1626 mm,1604 mm,245/45 R19,245/45 R19,Hydraulic Power,All Windows,Yes,Smart Key,Digital,Analog,Analog,Yes,5.0,Leather,Automatic,3157 mm,245/45 R19,Yes,3,CD/MP3/DVD Player with USB & Aux-in,Yes,Yes,"3 Years/1,00,000 Kms (Whichever comes earlier)",Yes,Internal,520 litres,Yes,Yes,Yes,Digital,Front & Rear,Yes,Front & Rear,Yes,,Yes,Internal,Digital,Automatic,Analog,Yes,6.3 meter,Yes,Driver & Front Passenger,Not Applicable,4 Zone climate control,,Yes,Yes,,,,,Yes,,,,Yes,,,Yes,Yes,All Rows,2450 kg,"Driver frontal airbag, Front passenger frontal airbag, Front passenger side airbag, Curtain airbags",Yes,Yes,Yes,Yes,6.0,16:1,"Rake, Reach",,,Front & rear sensors with 360 degree view,Yes,Yes,,,Yes,Touch Sensitive,"Multifunction Steering Wheel, With gear shift paddles",Yes,Yes,Electric Adjustment with Memory,Yes,Yes,Yes,Audio Controls,Yes,Yes,Yes,,All,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,,,,,,270.25,600.0
413,Jeep,Compass,401.37,879.71,915.26,460.35,644.79,899.46,184.98,174.85,156.55,170.66,4.92,155.93,847.89,1996000.0,1368.0,6.0,4.0,FWD (Front Wheel Drive),V,BS 6,"Front, Longitudinal",Injection,60.0,Petrol,1640.0,4395.0,1818.0,SUV,5,,,16.3 km/litre,,1562 kg,,,Ventilated Disc,Ventilated Disc,McPherson Strut with Coil Spring Rear,"Multi-link suspension, coil springs, twin-tube gas-filled shock absorbers, stabiliser bar",,,265 / 60 R17,265 / 60 R17,Electro-Hydraulic,All Windows,"Yes, with memory",Yes,Digital,Analog,Analog,Yes,5.0,Leather,Automatic,2636 mm,265 / 60 R17,Yes,Yes,CD/MP3/DVD Player with USB & Aux-in,Yes,Yes,,Yes,With Remote,,Yes,Yes,Yes,,Front & Rear,Yes,Front & Rear,Yes,,Yes,With Remote,Analog,Automatic,Analog,Yes,,Yes,Driver & Front Passenger,Not Applicable,Fully automatic climate control,Yes,Yes,Yes,,,,,Yes,,,,,,,Yes,Yes,All Rows,,"Driver frontal airbag, Front passenger frontal airbag",Yes,Yes,Yes,Yes,2.0,,"Rake, Reach",,,Rear sensors with camera,Yes,Yes,,,Yes,Touch Sensitive,"Multifunction Steering Wheel, With gear shift paddles",Yes,Yes,Electric Adjustment with Memory,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,,,,,,,159.78,250.0
434,Jeep,Compass Trailhawk,309.54,80.88,1025.33,281.13,786.25,517.13,142.71,100.04,138.52,190.39,89.64,185.11,846.41,2680000.0,1956.0,4.0,4.0,AWD (All Wheel Drive),In-line,BS 6,"Front, Longitudinal",Injection,60.0,Diesel,1657.0,4398.0,1818.0,SUV,5,,,16.3 km/litre,,1654 kg,9,,Ventilated Disc,Ventilated Disc,McPherson Strut with Coil Spring Rear,"Multi-link suspension, coil springs, twin-tube gas-filled shock absorbers, stabiliser bar",,,225 / 60 R17,225 / 60 R17,Hydraulic Power,All Windows,,Remote,Digital,Analog,Analog,2,5.0,Leather,Automatic,2636 mm,225 / 60 R17,Yes,2,CD/MP3/DVD Player with USB & Aux-in,Yes,Yes,,Yes,"With Remote, Internal",438 litres,Yes,Yes,Yes,Digital,Front & Rear,Yes,Front & Rear,Yes,,Yes,"With Remote, Internal",Digital,Automatic,Analog + Digital,Yes,,Yes,Driver & Front Passenger,Not Applicable,2 Zone Climate Control,Yes,Yes,Yes,,,Yes,Sport,Yes,,,,,Yes,,Yes,Yes,All Rows,,"Curtain airbags, Driver frontal airbag, Front passenger frontal airbag, Front passenger side airbag, Drive side airbag",Yes,Yes,Yes,Yes,6.0,,"Reach, Rake",,,Rear sensors with camera,Yes,Yes,Yes,Yes,,Touch Sensitive,Multifunction Steering Wheel,Yes,Yes,Electric Adjustment,Yes,Yes,,Cup Holders,Yes,Yes,,,,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,,,Yes,,,170.63,350.0
436,Jeep,Grand Cherokee,551.74,239.89,519.18,848.07,169.16,764.89,32.23,36.44,142.92,184.17,44.05,116.43,556.24,7882867.0,2987.0,6.0,4.0,AWD (All Wheel Drive),V,BS IV,"Front, Longitudinal",Injection,93.5,Diesel,1802.0,4828.0,1943.0,SUV,5,12.8,,12.8 km/litre,,2432 kg,,206 mm,Ventilated Disc,Ventilated Disc,Steel Suspension,Steel Suspension,,,265 / 60 R18,265 / 60 R18,Electro-Hydraulic,Only Front Windows,"Yes, with memory",Yes,Digital,Analog,Analog,Yes,5.0,Leather,Automatic,2915 mm,265 / 60 R18,Yes,Yes,CD/MP3/DVD Player with USB & Aux-in,Yes,Yes,,Yes,With Remote,1025 litres,Yes,Yes,Yes,,Front & Rear,Yes,Front & Rear,Yes,,Yes,With Remote,Analog,Automatic,Analog,Yes,,Yes,Driver & Front Passenger,Not Applicable,Fully automatic climate control,,Yes,Yes,,,,,Yes,,,,,,,Yes,Yes,All Rows,2955 kg,"Driver frontal airbag, Front passenger frontal airbag, Front passenger side airbag, Drive side airbag",Yes,Yes,Yes,Yes,6.0,,"Rake, Reach",,,Front and rear sensors with camera,Yes,Yes,,,Yes,Touch Sensitive,"Multifunction Steering Wheel, With gear shift paddles",Yes,Yes,Electric Adjustment with Memory,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,,,,,,236.72,570.0
440,Jeep,Wrangler,255.43,726.09,1159.33,1249.18,148.16,1054.83,25.96,81.23,75.01,155.31,166.38,95.81,599.7,6394000.0,1999.0,4.0,4.0,AWD (All Wheel Drive),V,BS 6,"Front, Longitudinal",Injection,85.0,Petrol,1838.0,4882.0,1877.0,SUV,5,17.5,8.4,8.4 km/litre,,,8,215 mm,Ventilated Disc,Ventilated Disc,Independent Suspension with Torsion Bar And Stabilizer Bar,Independent suspension with McPherson Struts,,,245/75R15,245/75R15,Electric Power,All Windows,Power seats,Remote,Digital,Analog,Analog,Yes,5.0,Leather,Automatic,3008 mm,245/75R15,,Yes,CD Player with USB & Aux-in,Yes,Yes,2 Years Unlimited Kilometres,Yes,Internal,,Yes,Yes,,Digital,Front & Rear,Yes,Front & Rear,Yes,2 Years Unlimited Kilometres,Yes,Internal,Analog,Automatic,Analog + Digital,Yes,,Yes,Driver & Front Passenger,Not Applicable,Fully automatic climate control,Yes,Yes,Yes,,,,"Normal, Comfort, Eco, Sport",,Yes,,,,Yes,,Yes,Yes,,,"Driver frontal airbag, Front passenger frontal airbag, Drive side airbag, Front passenger side airbag, Front passenger curtain airbag, Driver curtain airbag",Yes,Yes,Yes,Yes,6.0,,Rake,,,Rear sensors with camera,Yes,Yes,Yes,Yes,Yes,Touch Sensitive,Multifunction Steering Wheel,,Yes,Manual Adjustment,Yes,,Yes,Yes,,Yes,Yes,,Yes,Yes,,,,Yes,Yes,,Yes,,,,,,,264.33,400.0
441,Kia,Carnival,104.91,1237.77,781.62,16.22,977.65,514.57,115.4,218.99,181.03,54.99,244.96,110.56,925.93,2495000.0,2199.0,4.0,4.0,FWD (Front Wheel Drive),In-line,BS 6,"Front, Longitudinal",Injection,,Diesel,1755.0,5115.0,1985.0,MUV,5,,,,,,8,,Ventilated Disc,Ventilated Disc,Macpherson strut with Coil Spring,Multi link,1985 mm,,235/60 R18,235/60 R18,Electric Power,All Windows,,Smart Key,Digital,Analog,Analog,Yes,7.0,Fabric,Automatic,3060 mm,235/60 R18,Yes,Yes,CD/MP3/DVD Player with USB & Aux-in,Yes,Yes,3 Years Warranty,Yes,"Manual, With Remote",540 litres,Yes,Yes,Yes,Digital,Front & Rear,Yes,Front & Rear,Yes,,Yes,Internal,Digital,Automatic,Analog + Digital,Yes,,Yes,Driver & Front Passenger,Yes,3 Zone climate control,Yes,,Yes,Yes,,Yes,"Normal, Eco",Yes,Yes,,,Yes,Yes,Yes,Yes,Yes,All Rows,,"Driver frontal airbag, Front passenger frontal airbag",Yes,Yes,Yes,Yes,2.0,,"Rake, Reach",,,Rear sensors with camera,Yes,Yes,Yes,Yes,Yes,Touch Sensitive,Multifunction Steering Wheel,Yes,Yes,Electric Adjustment with Memory,Yes,Yes,,"Audio Controls, Cup Holders",Yes,,Yes,,,Yes,Yes,Yes,Yes,,Yes,CRDi,,Yes,,,Yes,,,197.26,440.0
446,Kia,Seltos,700.25,515.62,805.4,1015.59,1222.76,593.39,104.08,2.53,100.66,193.08,186.69,41.83,628.87,989000.0,1497.0,4.0,4.0,FWD (Front Wheel Drive),In-line,BS 6,"Front, Longitudinal",Injection,60.0,Petrol,1645.0,4315.0,1800.0,SUV,5,,,16.8 km/litre,,,6,190 mm,Ventilated Disc,Ventilated Disc,McPherson strut with coil spring,Coupled Torsion Beam Axle (CTBA) with coil spring,,,205/65 R16,205/65 R16,Electric Power,All Windows,,Remote,Digital,Analog,Digital,Yes,5.0,Fabric,Manual,2610 mm,205/65 R16,,Yes,CD/MP3/DVD Player with USB & Aux-in,Yes,,,Yes,Manual,433 litres,Yes,Yes,Yes,Digital,Front,,Front,Yes,3 Years Unlimited Kilometres,Yes,Internal,Digital,Manual,Analog + Digital,Yes,5.3 meter,Yes,Driver & Front Passenger,,Manual Air conditioning with cooling and heating,Yes,,,,,,Normal,Yes,,,,Yes,,,Yes,Yes,All Rows,,"Driver frontal airbag, Front passenger frontal airbag",Yes,Yes,,,2.0,,Rake,,,Rear sensors,,Yes,,,Yes,,Multifunction Steering Wheel,,,Manual Adjustment,,Yes,,,,,,,,Yes,,,,,,,,,,,,,,113.43,144.0
462,Lamborghini,Aventador,717.66,1146.29,479.95,413.43,529.01,1097.79,184.11,156.63,239.14,235.49,26.58,203.42,1045.37,47893943.0,6498.0,12.0,4.0,4WD,V,BS IV,"Front, Longitudinal",Injection,90.0,Petrol,1136.0,4780.0,2030.0,Convertible,2,3.0,5.0,5 km/litre,,1575 kg,7,100 mm,Ventilated Disc,Ventilated Disc,horizontal monotube damper with push-rod system,horizontal monotube damper with push-rod system,1720 mm,1700 mm,255/35,335/30,Electric Power,Only Front Windows,Yes,,,,Not on offer,,2.0,Leather,Automatic,2700 mm,19,,,DVD Player with USB & Aux-in,,,3 years / Unlimited Kms,Yes,Internal,110 litres,,,Yes,Digital,,,,,,,Internal,,Automatic,Analog,Yes,,,Driver Only,,Fully automatic climate control,,,,,,,,Yes,,,,,,,,Yes,,,"Driver frontal airbag, Front passenger frontal airbag",Yes,,Yes,,6.0,,"Rake, Reach",,Air Conditioner : Standard,Yes,Yes,,,,,,Yes,,,Electric Adjustment,Yes,,Yes,,,,,,Only front,,,Yes,,Yes,Yes,,Yes,Yes,,,,,,690.42,690.0
465,Lamborghini,Huracan,325.11,658.96,968.58,849.91,120.77,239.28,42.8,121.91,81.22,199.29,123.23,193.05,761.5,37133704.0,5204.0,10.0,4.0,AWD (All Wheel Drive),V,BS IV,"Rear, Transverse",Injection,90.0,Petrol,1165.0,4459.0,1924.0,Coupe,2,5.6,,10.6 km/litre,,1422 kg,7,135 mm,Ventilated Disc,Ventilated Disc,Aluminum double-wishbone suspension,Aluminum double-wishbone suspension,1668 mm,1620 mm,245/30R20,305/30R20,Electric Power,Only Front Windows,Power seats,Smart Key,Digital,Digital,Analog,Yes,2.0,Leather,Automatic,2620 mm,R20,Yes,Yes,DVD Player with USB & Aux-in,Yes,Yes,3 years / Unlimited Kms,Yes,"With Remote, Internal",70 litres,Yes,Yes,,Digital,Front,Yes,Front,Yes,,Yes,Internal,Analog,Automatic,Analog + Digital,Yes,5.6 meter,Yes,Driver & Front Passenger,Not Applicable,Fully automatic climate control,,Yes,Yes,,,,,Yes,,,,,,,Yes,Yes,Front Row,,"Drive side airbag, Driver frontal airbag, Front passenger frontal airbag, Front passenger side airbag",Yes,Yes,Yes,Yes,4.0,12.7:1,"Rake, Reach",,,Front and rear sensors with camera,Yes,Yes,,,,Touch Sensitive,Multifunction Steering Wheel,Yes,Yes,Electric Adjustment,Yes,,Yes,,Yes,Yes,,,Only front,,,Yes,Yes,Yes,Yes,,Yes,Yes,,,,,,601.66,560.0
474,Lamborghini,Urus,816.9,828.28,620.48,1029.93,304.08,1130.96,86.83,96.36,12.53,242.0,21.39,224.85,683.96,30000000.0,3996.0,8.0,8.0,AWD (All Wheel Drive),V,BS IV,,Injection,75.0,Petrol,1638.0,5112.0,2181.0,SUV,5,,,7.8 km/litre,,2200 kg,,,Ventilated Disc,Ventilated Disc,adaptive air suspension,adaptive air suspension,,,285/45 ZR21,315/40 ZR21,Yes,All Windows,"Yes, with memory",Yes,Yes,Digital,Yes,Yes,5.0,Leather,Automatic,3003 mm,,Yes,Yes,CD/MP3/DVD Player with USB & Aux-in,Yes,Yes,,Yes,With Remote,616 litres,Yes,Yes,Yes,Digital,Front & Rear,Yes,Yes,Yes,,Yes,With Remote,Digital,Automatic,Analog + Digital,Yes,,Yes,Driver & Front Passenger,Not Applicable,Fully automatic climate control,,Yes,Yes,,,,,Yes,,,,Yes,,,Yes,Yes,,,"Rear passenger side airbags, Driver head airbag, Front passenger head airbag, Drive side airbag, Rear passenger head airbags, Front passenger side airbag",Yes,Yes,Yes,Yes,8.0,,"Rake, Reach",,,Front & rear sensors with 360 degree view,Yes,Yes,,,Yes,Touch Sensitive,Multifunction Steering Wheel,Yes,Yes,,Yes,Yes,Yes,Audio Controls,Yes,Yes,Yes,,Yes,,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,,,,,,641.11,850.0
475,Land Rover,Discovery,784.23,789.36,763.05,290.82,1044.39,1052.72,189.34,23.04,96.58,35.22,88.06,248.41,680.65,10205494.0,2993.0,6.0,4.0,4WD,V,BS IV,"Front, Longitudinal",Injection,85.0,Diesel,1846.0,4988.0,2200.0,SUV,5,,,18 km/litre,,,8,,Ventilated Disc,Ventilated Disc,Air suspension,Air suspension,1692.4 mm,1686.6 mm,255/55 R20,255/55 R20,Electro-Hydraulic,All Windows,"Yes, with memory",Smart Key,Digital,Analog,Analog,Yes,7.0,Leather,Automatic,2922 mm,255/55 R20,Yes,Yes,DVD Player with USB & Aux-in,Yes,Yes,3 Years / 100000 km (whichever comes first),Yes,"Internal, With Remote",258 litres,Yes,Yes,Yes,Digital,Front & Rear,Yes,Front & Rear,Yes,,Yes,Internal,Digital,Automatic,Analog + Digital,Yes,5.9 meter,Yes,Driver & Front Passenger,,3 Zone climate control,,Yes,Yes,,,,,Yes,,,,,,,Yes,Yes,All Rows,,"Driver head airbag, Front passenger head airbag, Drive side airbag, Driver frontal airbag, Front passenger frontal airbag, Curtain airbags, Front passenger side airbag",Yes,Yes,Yes,Yes,8.0,,"Rake, Reach",,,Front and rear sensors with camera,Yes,Yes,,,Yes,Touch Sensitive,"Multifunction Steering Wheel, With gear shift paddles",,Yes,Electric Adjustment with Memory,Yes,Yes,Yes,Cup Holders,Yes,Yes,Yes,,All,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,,,,,,254.47,600.0
483,Land Rover,Discovery Sport,1045.38,823.03,535.91,1231.82,1217.18,645.28,57.83,39.14,161.52,29.99,28.22,152.15,468.85,5706000.0,1999.0,4.0,4.0,4WD,In-line,BS 6,"Front, Transverse",Injection,70.0,Diesel,1727.0,4600.0,2069.0,SUV,5,,,,,2087 kg,9,167 mm,Ventilated Disc,Ventilated Disc,McPherson Strut,Integral link,,,235/60 R18,235/60 R18,Electric Power,All Windows,Yes,Smart Key,Digital,Analog,Analog,Yes,7.0,Leather,Automatic,2741 mm,235/60 R18,Yes,Yes,CD Player with USB & Aux-in,Yes,Yes,3 Years / 100000 km (whichever comes first),Yes,"Internal, With Remote",,Yes,Yes,Yes,Digital,Front & Rear,Yes,Front,Yes,,Yes,Internal,Digital,Automatic,Analog + Digital,Yes,11.6 meter,Yes,Driver & Front Passenger,Yes,Fully automatic climate control,Yes,Yes,Yes,Yes,Yes,Yes,"Comfort, Eco, Sport",Yes,Yes,Yes,Yes,,Yes,Yes,Yes,,All Rows,,"Curtain airbags, Driver frontal airbag, Front passenger frontal airbag, Front passenger side airbag, Driver knee airbag, Drive side airbag",Yes,Yes,Yes,Yes,7.0,,"Rake, Reach",,,Front & rear sensors with 360 degree view,,Yes,Yes,Yes,,Touch Sensitive,Multifunction Steering Wheel,,Yes,Manual Adjustment,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,All,Yes,Yes,Yes,Yes,Yes,Yes,2.0 Diesel,Yes,Yes,,,Yes,,,176.55,430.0
485,Land Rover Rover,Range,782.45,630.7,398.91,1117.07,67.09,449.5,45.24,194.5,109.76,38.97,115.0,27.86,531.33,26037526.0,4999.0,8.0,4.0,4WD,V,BS IV,"Front, Longitudinal",Injection,105.0,Petrol,1877.0,4999.0,2034.0,SUV,5,4.4,9.6,9.6 km/litre,,2687 kg,8,295.5 mm,Solid Disc,Solid Disc,Electronic Cross Linked Air Suspension (with Variable Ride Height),Electronic Cross Linked Air Suspension (with Variable Ride Height),1628 mm,1629 mm,,,Electric Power,All Windows,Yes,Smart Key,,Yes,Yes,Yes,7.0,Leather,Automatic,2922 mm,20,,Yes,CD Player with USB & Aux-in,Yes,Yes,,Yes,Internal,,Yes,Yes,Yes,Digital,Yes,Yes,Yes,Yes,,Yes,Internal,Yes,Automatic,Analog,Yes,,Yes,Driver & Front Passenger,Yes,4 Zone climate control,,,Yes,,,,,Yes,,,,Yes,,,Yes,Yes,Yes,3100 kg,"Driver frontal airbag, Front passenger frontal airbag, Front passenger side airbag",Yes,Yes,Yes,Yes,10.0,,"Rake, Reach",,Air Conditioner : Standard,Front & rear sensors with 360 degree view,Yes,Yes,,,,Touch Sensitive,Yes,Yes,Yes,Electric Adjustment,Yes,Yes,Yes,Cup Holders,Yes,Yes,Yes,,Only front,,Yes,Yes,Yes,Yes,Yes,,,Yes,,,,,,525.18,625.0
495,Land Rover Rover,Range Evoque,154.65,559.32,12.96,136.12,957.52,347.7,68.29,152.88,202.7,193.16,171.84,194.06,982.93,5494000.0,1999.0,4.0,4.0,AWD (All Wheel Drive),V,BS 6,"Front, Longitudinal",Injection,,Diesel,1649.0,4371.0,1996.0,SUV,5,,,15.6 km/litre,,1915 kg,9,210 mm,Ventilated Disc,Ventilated Disc,MacPherson Strut,Multi - link,1626 mm,1632 mm,235/65R17,235/65R17,Electro-Hydraulic,All Windows,Yes,Smart Key,Digital,Analog,Analog,Yes,5.0,Leather,Automatic,2681 mm,235/65R17,Yes,Yes,CD Player with USB & Aux-in,Yes,Yes,"3 Years/1,00,000 Kms (Whichever comes earlier)",Yes,"Internal, With Remote",,Yes,Yes,Yes,Digital,Front & Rear,Yes,Front & Rear,Yes,"12/24 months /2,00,000 Kms (Whichever comes earlier)",Yes,Internal,Digital,Automatic,Analog + Digital,Yes,5.65 meter,Yes,Driver & Front Passenger,Not Applicable,2 Zone Climate Control,Yes,Yes,Yes,Yes,Yes,,"Normal, Comfort, Sport",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,All Rows,2450 kg,"Drive side airbag, Front passenger curtain airbag, Driver curtain airbag, Rear passenger curtain airbags, Driver frontal airbag, Front passenger frontal airbag",Yes,Yes,Yes,Yes,6.0,15.5,"Rake, Reach",,,Front & rear sensors with 360 degree view,Yes,Yes,Yes,Yes,Yes,Touch Sensitive,"Multifunction Steering Wheel, With gear shift paddles",Yes,Yes,Electric Adjustment with Memory,Yes,Yes,Yes,Cup Holders,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,D180,Yes,Yes,,Yes,Yes,,,176.55,430.0
